epoch,total_loss,accuracy,Legal_prob
0,6.584498405456543,0.017207015305757523,0.07885364443063736
1,5.477900505065918,0.051664113998413086,0.21774864196777344
2,4.179185390472412,0.13196870684623718,0.46069371700286865
3,3.619565963745117,0.18530847132205963,0.6001043915748596
4,3.2983946800231934,0.22580866515636444,0.6788097023963928
5,3.085515022277832,0.2547423243522644,0.7300306558609009
6,2.930253267288208,0.2751956284046173,0.7661455869674683
7,2.7945680618286133,0.29705455899238586,0.7938564419746399
8,2.69183349609375,0.31274211406707764,0.816834032535553
9,2.604454517364502,0.3273792862892151,0.8340063095092773
10,2.523963451385498,0.33918753266334534,0.8498156666755676
11,2.4505677223205566,0.35158205032348633,0.8623448610305786
12,2.400318145751953,0.35983604192733765,0.8722010850906372
13,2.3447976112365723,0.369625061750412,0.8811705708503723
14,2.2869515419006348,0.3800823986530304,0.8890153169631958
15,2.2462785243988037,0.38582056760787964,0.8956688046455383
16,2.215104103088379,0.39056241512298584,0.9016046524047852
17,2.1792471408843994,0.3980311453342438,0.906643271446228
18,2.1517393589019775,0.4010310173034668,0.9115646481513977
19,2.1278581619262695,0.4060662090778351,0.914741575717926
20,2.0883162021636963,0.41186708211898804,0.9196114540100098
21,2.075589179992676,0.41515204310417175,0.9232218265533447
22,2.0489699840545654,0.418414443731308,0.9257963299751282
23,2.0300405025482178,0.42228150367736816,0.9287344217300415
24,2.013080358505249,0.4255979359149933,0.9313312768936157
25,1.9989386796951294,0.4269733428955078,0.9338380098342896
26,1.9887803792953491,0.4293486475944519,0.9360488057136536
27,1.9674826860427856,0.4323984980583191,0.9382793307304382
28,1.9556857347488403,0.43490585684776306,0.9400479197502136
29,1.945389747619629,0.435680091381073,0.941683292388916
30,1.9238336086273193,0.44161316752433777,0.9440217018127441
31,1.9156335592269897,0.4411908686161041,0.9455956220626831
32,1.8964773416519165,0.4456019401550293,0.9469431638717651
33,1.8964952230453491,0.4452149569988251,0.9480534195899963
34,1.8886884450912476,0.44647613167762756,0.9496005773544312
35,1.8817546367645264,0.44787511229515076,0.9510470032691956
36,1.8692984580993652,0.4501716196537018,0.9520856142044067
37,1.8560949563980103,0.45142218470573425,0.9532579779624939
38,1.8573529720306396,0.45174306631088257,0.9545077681541443
39,1.8439996242523193,0.45529285073280334,0.9554664492607117
40,1.833878517150879,0.4564645290374756,0.9563168287277222
41,1.830306053161621,0.4573904573917389,0.9571936130523682
42,1.8242062330245972,0.4574999213218689,0.9581325650215149
43,1.8308690786361694,0.4557965099811554,0.9590656757354736
44,1.8066143989562988,0.46032851934432983,0.9598148465156555
45,1.8129487037658691,0.45786744356155396,0.9601371884346008
46,1.798924207687378,0.46183252334594727,0.9615795016288757
47,1.7900367975234985,0.4654804468154907,0.9622201323509216
48,1.785045862197876,0.46518686413764954,0.9630392789840698
49,1.7858474254608154,0.46455103158950806,0.9634491205215454
50,1.7800018787384033,0.4638511836528778,0.9644206166267395
51,1.7637450695037842,0.4695819020271301,0.965242862701416
52,1.7608541250228882,0.47012075781822205,0.965550422668457
53,1.7682349681854248,0.467515766620636,0.9657152891159058
54,1.7695577144622803,0.46742603182792664,0.9659696817398071
